Fake Name,Station Name,Station No.,First Date,Line,Edition
Wimbledon,Wombledon,1,15/08/2021,Tramlink,ϙ7
Dundonald Road,Dundonald Road,2,15/08/2021,Tramlink,ϙ7
Merton Park,Merton Park,3,15/08/2021,Tramlink,ϙ7
Morden Road,Morden Road,4,15/08/2021,Tramlink,ϙ7
Phipps Bridge,Phipps Bridge,5,15/08/2021,Tramlink,ϙ7
Belgrave Walk,Belgrave Walk,6,15/08/2021,Tramlink,ϙ7
Mitcham,Mitcham,7,15/08/2021,Tramlink,ϙ7
Mitcham Junction,Mitcham Junction,8,15/08/2021,Tramlink,ϙ7
Beddington Lane,Beddington Lane,9,15/08/2021,Tramlink,ϙ7
Therapia Lane,The Rape Lane,10,15/08/2021,Tramlink,ϙ7
Ampere Way,Ampere IKEA,11,15/08/2021,Tramlink,ϙ7
Waddon Marsh,Waddon Marsh,12,15/08/2021,Tramlink,ϙ7
Wandle Park,Wandle Park,13,15/08/2021,Tramlink,ϙ7
Reeves Corner,Reeves Corner,14,15/08/2021,Tramlink,ϙ7
Centrale,Centrale,15,15/08/2021,Tramlink,ϙ7
West Croydon,West Croydon,16,15/08/2021,Tramlink,ϙ7
Wellesley Road,Wellesley Road,17,15/08/2021,Tramlink,ϙ7
East Croydon,East Croydon (Dick Whittington),18,15/08/2021,Tramlink,ϙ7
George Street,George Street (Poundland),19,15/08/2021,Tramlink,ϙ7
Church Street,Church Street,20,15/08/2021,Tramlink,ϙ7
